,Year,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Total Non-Current Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current",Total Non-Current Liabilities,Total Equity,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,Changes in Operating Capital,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Cash and Cash Equivalents, End of Period",Change in Cash,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental",Gross Profit,Total Revenue,Business Revenue,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Pretax Income,Net Income before Extraordinary Items and Discontinued Operations,Diluted Net Income Available to Common Stockholders,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO,Tiker
2355,2016,128272000.0,124501000.0,103950000.0,103950000.0,3771000.0,15001000.0,14867000.0,14518000.0,6811000.0,134000.0,113271000.0,-3669000.0,-3669000.0,-3669000.0,-84066000.0,78369000.0,2028000.0,-1224000.0,-1224000.0,-312000.0,-312000.0,103950000.0,-5205000.0,109155000.0,0.0,-5205000.0,52577000.0,129547000.0,129547000.0,-19930000.0,-64082000.0,-84012000.0,-84066000.0,-84066000.0,-2.01,-2.01,41740000.0,46930000.0,MCHX
2356,2017,123822000.0,121091000.0,104190000.0,104190000.0,2731000.0,33823000.0,32733000.0,32420000.0,26835000.0,1090000.0,89999000.0,1692000.0,1692000.0,1692000.0,-6087000.0,7614000.0,165000.0,-1577000.0,-1577000.0,125000.0,125000.0,104190000.0,240000.0,103950000.0,0.0,240000.0,40952000.0,90291000.0,90291000.0,-6361000.0,316000.0,-6045000.0,-6087000.0,-6442000.0,-0.15,-0.15,42713000.0,47769000.0,MCHX
2357,2018,113062000.0,64085000.0,45230000.0,45230000.0,48977000.0,18036000.0,14772000.0,11775000.0,5968000.0,3264000.0,95026000.0,5051000.0,5051000.0,5051000.0,-2678000.0,6989000.0,740000.0,-36563000.0,-36563000.0,-27448000.0,-27448000.0,45230000.0,-58960000.0,104190000.0,0.0,-58960000.0,37447000.0,85251000.0,85251000.0,-3426000.0,592000.0,-2834000.0,-2678000.0,-2678000.0,-0.06,-0.06,42446000.0,47502000.0,MCHX
2358,2019,124501000.0,62419000.0,42526000.0,42526000.0,62082000.0,24663000.0,17545000.0,13761000.0,7082000.0,7118000.0,99838000.0,5094000.0,5094000.0,5094000.0,-4042000.0,8203000.0,933000.0,-9683000.0,-9683000.0,1885000.0,1885000.0,42526000.0,-2704000.0,45230000.0,0.0,-2704000.0,49595000.0,106132000.0,106132000.0,-6962000.0,1199000.0,-5763000.0,-4042000.0,-4042000.0,-0.09,-0.09,45460000.0,50253000.0,MCHX
2359,2020,76932000.0,42342000.0,33851000.0,33851000.0,34590000.0,24244000.0,20952000.0,6634000.0,2424000.0,3292000.0,52688000.0,-3373000.0,-7006000.0,-7006000.0,-42018000.0,30108000.0,4904000.0,981000.0,981000.0,-5488000.0,-5653000.0,33851000.0,-7880000.0,41731000.0,0.0,-7880000.0,30330000.0,51218000.0,51218000.0,-25454000.0,-18481000.0,-43935000.0,-42018000.0,-38446000.0,-0.83,-0.83,46260000.0,50921000.0,MCHX
2360,2021,65827000.0,37514000.0,27086000.0,27086000.0,28313000.0,14325000.0,12673000.0,5232000.0,1363000.0,1652000.0,51502000.0,-6342000.0,-6342000.0,-6342000.0,-4390000.0,4452000.0,-6404000.0,-951000.0,-951000.0,528000.0,528000.0,27086000.0,-6765000.0,33851000.0,0.0,-6765000.0,31782000.0,53476000.0,53476000.0,-11654000.0,7496000.0,-4158000.0,-4390000.0,-4390000.0,-0.1,-0.1,43917000.0,48578000.0,MCHX
2361,2022,56794000.0,30885000.0,20474000.0,20474000.0,25909000.0,12682000.0,12064000.0,5862000.0,2037000.0,618000.0,44112000.0,-2292000.0,-2292000.0,-2292000.0,-8245000.0,7628000.0,-1675000.0,-2865000.0,-2865000.0,-1455000.0,-1455000.0,20474000.0,-6612000.0,27086000.0,0.0,-6612000.0,31708000.0,52170000.0,52170000.0,-8075000.0,14000.0,-8061000.0,-8245000.0,-8245000.0,-0.19,-0.19,43221000.0,47882000.0,MCHX
2362,2016,156813000.0,144027000.0,113159000.0,33205000.0,12786000.0,385318000.0,65672000.0,4771000.0,1514000.0,319646000.0,-228505000.0,-46961000.0,-46961000.0,-46961000.0,-73486000.0,16795000.0,9730000.0,-80422000.0,-80422000.0,3087000.0,3087000.0,33313000.0,-124296000.0,157701000.0,0.0,-124388000.0,44410000.0,65271000.0,65271000.0,-72738000.0,-306000.0,-73044000.0,-73486000.0,-73486000.0,-1.82,-1.82,40296208.0,40296208.0,MDB
2363,2017,174432000.0,158452000.0,116500000.0,69305000.0,15980000.0,460946000.0,97790000.0,8110000.0,2841000.0,363156000.0,-286514000.0,-38078000.0,-38078000.0,-38078000.0,-86681000.0,24713000.0,23890000.0,31056000.0,31056000.0,43114000.0,43114000.0,69412000.0,36092000.0,33313000.0,0.0,36099000.0,71491000.0,101358000.0,101358000.0,-85947000.0,-15000.0,-85962000.0,-86681000.0,-86681000.0,-2.28,-2.28,38068020.0,38068020.0,MDB
2364,2018,415196000.0,343550000.0,278974000.0,61902000.0,71646000.0,221703000.0,142617000.0,10684000.0,2261000.0,79086000.0,193493000.0,-44881000.0,-44881000.0,-44881000.0,-96359000.0,24535000.0,26943000.0,-172287000.0,-172287000.0,209892000.0,209892000.0,62427000.0,-7276000.0,69412000.0,0.0,-6985000.0,111660000.0,154519000.0,154519000.0,-97267000.0,2195000.0,-95072000.0,-96359000.0,-96359000.0,-4.06,-4.06,23718391.0,23718391.0,MDB
2365,2019,733476000.0,566236000.0,465970000.0,147831000.0,167240000.0,468910000.0,164637000.0,16322000.0,2153000.0,304273000.0,264566000.0,-41989000.0,-41989000.0,-41989000.0,-99011000.0,47204000.0,9818000.0,-160279000.0,-160279000.0,288236000.0,288236000.0,148347000.0,85968000.0,62427000.0,0.0,85920000.0,193448000.0,267016000.0,267016000.0,-97765000.0,-4564000.0,-102329000.0,-99011000.0,-99011000.0,-1.9,-1.9,52034596.0,52034596.0,MDB
2366,2020,1328567000.0,1113196000.0,986518000.0,706192000.0,215371000.0,1245709000.0,242384000.0,29709000.0,2849000.0,1003325000.0,82858000.0,-29540000.0,-29540000.0,-29540000.0,-175522000.0,119390000.0,26592000.0,-1645000.0,-1645000.0,589238000.0,589238000.0,706706000.0,558053000.0,148347000.0,0.0,558359000.0,296364000.0,421720000.0,421720000.0,-147866000.0,-28312000.0,-176178000.0,-175522000.0,-175522000.0,-3.14,-3.14,55939032.0,55939032.0,MDB
2367,2021,1407495000.0,1141887000.0,957742000.0,429697000.0,265608000.0,1407814000.0,354541000.0,60584000.0,4144000.0,1053273000.0,-319000.0,-42673000.0,-42673000.0,-42673000.0,-266944000.0,222732000.0,1539000.0,-262656000.0,-262656000.0,27581000.0,27581000.0,430222000.0,-277748000.0,706706000.0,0.0,-276484000.0,413304000.0,590380000.0,590380000.0,-209304000.0,-53389000.0,-262693000.0,-266944000.0,-266944000.0,-4.53,-4.53,58984604.0,58984604.0,MDB
2368,2022,2449588000.0,2117402000.0,1825923000.0,473904000.0,332186000.0,1782888000.0,526735000.0,54082000.0,5234000.0,1256153000.0,666700000.0,6980000.0,6980000.0,6980000.0,-306866000.0,286009000.0,27837000.0,-852142000.0,-852142000.0,890892000.0,890892000.0,474420000.0,45730000.0,430222000.0,0.0,44198000.0,614290000.0,873782000.0,873782000.0,-289364000.0,-13525000.0,-302889000.0,-306866000.0,-306866000.0,-4.75,-4.75,64563032.0,64563032.0,MDB
2369,2023,2588893000.0,2236584000.0,1836630000.0,455826000.0,352309000.0,1849385000.0,588512000.0,60967000.0,8295000.0,1260873000.0,739508000.0,-12970000.0,-12970000.0,-12970000.0,-345398000.0,406898000.0,-74470000.0,-33308000.0,-33308000.0,30200000.0,30200000.0,456339000.0,-16078000.0,474420000.0,0.0,-18081000.0,934736000.0,1284040000.0,1284040000.0,-346655000.0,13401000.0,-333254000.0,-345398000.0,-345398000.0,-5.03,-5.03,68628267.0,68628267.0,MDB
2370,2014,575500000.0,381700000.0,116400000.0,116400000.0,193800000.0,183300000.0,119100000.0,117800000.0,86600000.0,64200000.0,392200000.0,72400000.0,72400000.0,72400000.0,96200000.0,-100000.0,-23700000.0,-22900000.0,-22900000.0,-1400000.0,-1400000.0,116400000.0,48100000.0,65800000.0,0.0,50600000.0,156700000.0,772800000.0,772800000.0,75300000.0,600000.0,75900000.0,96200000.0,96100000.0,2.53,2.51,37973697.0,38216259.0,MEI
2371,2015,605800000.0,438300000.0,168100000.0,168100000.0,167500000.0,146800000.0,130600000.0,128900000.0,81100000.0,16200000.0,459000000.0,122900000.0,122900000.0,122900000.0,101000000.0,30800000.0,-8900000.0,-11300000.0,-11300000.0,-48500000.0,-48500000.0,168100000.0,63100000.0,116400000.0,0.0,51700000.0,218800000.0,881100000.0,881100000.0,123300000.0,-2500000.0,120800000.0,101000000.0,101100000.0,2.61,2.57,38686715.0,39266866.0,MEI
2372,2016,655900000.0,496200000.0,227800000.0,227800000.0,159700000.0,185800000.0,117900000.0,115800000.0,81200000.0,67900000.0,470100000.0,110700000.0,110700000.0,110700000.0,84600000.0,38800000.0,-12700000.0,-21600000.0,-21600000.0,-28700000.0,-28700000.0,227800000.0,60400000.0,168100000.0,0.0,59700000.0,212900000.0,809100000.0,809100000.0,109700000.0,1200000.0,110900000.0,84600000.0,84600000.0,2.21,2.2,38333484.0,38471612.0,MEI
2373,2017,704000000.0,530300000.0,294000000.0,294000000.0,173700000.0,162900000.0,124400000.0,124400000.0,88000000.0,38500000.0,541100000.0,145200000.0,145200000.0,145200000.0,92900000.0,33000000.0,19300000.0,-21700000.0,-21700000.0,-47000000.0,-47000000.0,294000000.0,76500000.0,227800000.0,0.0,66200000.0,218300000.0,816500000.0,816500000.0,110800000.0,5100000.0,115900000.0,92900000.0,92900000.0,2.49,2.48,37283096.0,37485701.0,MEI
2374,2018,915900000.0,550000000.0,246100000.0,246100000.0,365900000.0,285900000.0,157000000.0,152600000.0,108200000.0,128900000.0,630000000.0,117800000.0,117800000.0,117800000.0,57200000.0,17800000.0,42800000.0,-179000000.0,-179000000.0,-12700000.0,-12700000.0,246100000.0,-73900000.0,294000000.0,0.0,-47900000.0,239600000.0,908300000.0,908300000.0,118300000.0,5500000.0,123800000.0,57200000.0,57200000.0,1.54,1.52,37281630.0,37541899.0,MEI
2375,2019,1231700000.0,453500000.0,83200000.0,83200000.0,778200000.0,542000000.0,180900000.0,145100000.0,111200000.0,361100000.0,689700000.0,102000000.0,102000000.0,102000000.0,91600000.0,52600000.0,-42200000.0,-470800000.0,-470800000.0,217400000.0,217400000.0,83200000.0,-151400000.0,246100000.0,0.0,-162900000.0,265800000.0,1000300000.0,1000300000.0,106800000.0,-3200000.0,103600000.0,91600000.0,91600000.0,2.45,2.43,37405298.0,37669560.0,MEI
2376,2020,1370600000.0,565600000.0,217300000.0,217300000.0,805000000.0,587200000.0,143800000.0,103900000.0,85400000.0,443400000.0,783400000.0,140600000.0,140600000.0,140600000.0,123400000.0,56700000.0,-39500000.0,-44500000.0,-44500000.0,41700000.0,41700000.0,217300000.0,137800000.0,83200000.0,0.0,134100000.0,282900000.0,1023900000.0,1023900000.0,147100000.0,1600000.0,148700000.0,123400000.0,123400000.0,3.28,3.26,37574671.0,37844470.0,MEI
2377,2021,1467000000.0,674000000.0,233200000.0,233200000.0,793000000.0,549000000.0,222700000.0,168200000.0,143200000.0,326300000.0,918000000.0,179800000.0,179800000.0,179800000.0,122300000.0,50700000.0,6800000.0,-24800000.0,-24800000.0,-142900000.0,-142900000.0,233200000.0,12100000.0,217300000.0,0.0,15900000.0,274100000.0,1088000000.0,1088000000.0,127900000.0,7000000.0,134900000.0,122300000.0,122300000.0,3.22,3.19,38038615.0,38306286.0,MEI
2378,2022,1389100000.0,629000000.0,172000000.0,172000000.0,760100000.0,475300000.0,188600000.0,139600000.0,115100000.0,286700000.0,913800000.0,98800000.0,98800000.0,98800000.0,102200000.0,66400000.0,-69800000.0,-37400000.0,-37400000.0,-114600000.0,-114600000.0,172000000.0,-53200000.0,233200000.0,0.0,-61200000.0,264900000.0,1163600000.0,1163600000.0,111700000.0,6800000.0,118500000.0,102200000.0,102200000.0,2.74,2.7,37234086.0,37817446.0,MEI
2379,2023,1579100000.0,664400000.0,157000000.0,157000000.0,914700000.0,626200000.0,228000000.0,181300000.0,146800000.0,398200000.0,952900000.0,132800000.0,132800000.0,132800000.0,77100000.0,59200000.0,-3500000.0,-153100000.0,-153100000.0,3200000.0,3200000.0,157000000.0,-17100000.0,172000000.0,0.0,-15000000.0,264100000.0,1179600000.0,1179600000.0,90400000.0,-300000.0,90100000.0,77100000.0,77100000.0,2.14,2.1,36016686.0,36775435.0,MEI
2380,2013,17895000000.0,13070000000.0,11449000000.0,3323000000.0,4825000000.0,2425000000.0,1100000000.0,355000000.0,268000000.0,1325000000.0,15470000000.0,4222000000.0,4222000000.0,4222000000.0,1500000000.0,2046000000.0,676000000.0,-2624000000.0,-2624000000.0,-667000000.0,-667000000.0,3323000000.0,931000000.0,2384000000.0,0.0,939000000.0,5997000000.0,7872000000.0,6986000000.0,2804000000.0,-50000000.0,2754000000.0,1500000000.0,1500000000.0,0.62,0.6,2420000019.0,2517000020.0,META
2381,2014,40184000000.0,13670000000.0,11199000000.0,4315000000.0,26514000000.0,4088000000.0,1424000000.0,542000000.0,378000000.0,2664000000.0,36096000000.0,5457000000.0,5457000000.0,5457000000.0,2940000000.0,2779000000.0,-262000000.0,-5913000000.0,-5913000000.0,1571000000.0,1571000000.0,4315000000.0,1115000000.0,3323000000.0,0.0,992000000.0,10313000000.0,12466000000.0,11492000000.0,4994000000.0,-84000000.0,4910000000.0,2940000000.0,2940000000.0,1.12,1.1,2614000020.0,2664000021.0,META
2382,2015,49407000000.0,21652000000.0,18434000000.0,4907000000.0,27755000000.0,5189000000.0,1925000000.0,605000000.0,413000000.0,3264000000.0,44218000000.0,8599000000.0,8599000000.0,8599000000.0,3688000000.0,4127000000.0,784000000.0,-9434000000.0,-9434000000.0,1582000000.0,1582000000.0,4907000000.0,747000000.0,4315000000.0,0.0,592000000.0,15061000000.0,17928000000.0,17079000000.0,6225000000.0,-31000000.0,6194000000.0,3688000000.0,3688000000.0,1.31,1.29,2803000022.0,2853000022.0,META
2383,2016,64961000000.0,34401000000.0,29449000000.0,8903000000.0,30560000000.0,5767000000.0,2875000000.0,913000000.0,582000000.0,2892000000.0,59194000000.0,16108000000.0,16108000000.0,16108000000.0,10217000000.0,5133000000.0,758000000.0,-11739000000.0,-11739000000.0,-310000000.0,-310000000.0,8903000000.0,4059000000.0,4907000000.0,0.0,3996000000.0,23849000000.0,27638000000.0,26885000000.0,12427000000.0,91000000.0,12518000000.0,10217000000.0,10217000000.0,3.56,3.49,2863000022.0,2925000023.0,META
2384,2017,84524000000.0,48563000000.0,41711000000.0,8079000000.0,35961000000.0,10177000000.0,3760000000.0,1685000000.0,1000000000.0,6417000000.0,74347000000.0,24216000000.0,24216000000.0,24216000000.0,15934000000.0,6395000000.0,1887000000.0,-20038000000.0,-20038000000.0,-5235000000.0,-5235000000.0,8079000000.0,-1057000000.0,8903000000.0,0.0,-824000000.0,35199000000.0,40653000000.0,39942000000.0,20203000000.0,391000000.0,20594000000.0,15934000000.0,15934000000.0,5.49,5.39,2901000023.0,2956000023.0,META
2385,2018,97334000000.0,50480000000.0,41114000000.0,10019000000.0,46854000000.0,13207000000.0,7017000000.0,3383000000.0,1852000000.0,6190000000.0,84127000000.0,29274000000.0,29274000000.0,29274000000.0,22112000000.0,8689000000.0,-1527000000.0,-11603000000.0,-11603000000.0,-15572000000.0,-15572000000.0,10124000000.0,2099000000.0,8204000000.0,0.0,1920000000.0,46483000000.0,55838000000.0,55013000000.0,24913000000.0,448000000.0,25361000000.0,22112000000.0,22112000000.0,7.65,7.57,2890000023.0,2921000023.0,META
2386,2019,133376000000.0,66225000000.0,54855000000.0,19079000000.0,67151000000.0,32322000000.0,15053000000.0,9505000000.0,2873000000.0,17269000000.0,101054000000.0,36314000000.0,36314000000.0,36314000000.0,18485000000.0,10579000000.0,7250000000.0,-19864000000.0,-19864000000.0,-7299000000.0,-7299000000.0,19279000000.0,9151000000.0,10124000000.0,0.0,9155000000.0,57927000000.0,70697000000.0,69655000000.0,23986000000.0,826000000.0,24812000000.0,18485000000.0,18485000000.0,6.48,6.43,2854000022.0,2876000023.0,META
2387,2020,159316000000.0,75670000000.0,61954000000.0,17576000000.0,83646000000.0,31026000000.0,14981000000.0,7498000000.0,4462000000.0,16045000000.0,128290000000.0,38747000000.0,38747000000.0,38747000000.0,29146000000.0,12324000000.0,-2723000000.0,-30059000000.0,-30059000000.0,-10292000000.0,-10292000000.0,17954000000.0,-1604000000.0,19279000000.0,0.0,-1325000000.0,69273000000.0,85965000000.0,84169000000.0,32671000000.0,509000000.0,33180000000.0,29146000000.0,29146000000.0,10.22,10.09,2851000000.0,2888000000.0,META
2388,2021,165987000000.0,66666000000.0,47998000000.0,16601000000.0,99321000000.0,41108000000.0,21135000000.0,11037000000.0,6391000000.0,19973000000.0,124879000000.0,57683000000.0,57683000000.0,57683000000.0,39370000000.0,17613000000.0,700000000.0,-7570000000.0,-7570000000.0,-50728000000.0,-50728000000.0,16865000000.0,-615000000.0,17954000000.0,0.0,-1089000000.0,95280000000.0,117929000000.0,117208000000.0,46753000000.0,531000000.0,47284000000.0,39370000000.0,39370000000.0,13.99,13.77,2815000000.0,2859000000.0,META
2389,2022,185727000000.0,59549000000.0,40738000000.0,14681000000.0,126178000000.0,60014000000.0,27026000000.0,16162000000.0,8446000000.0,32988000000.0,125713000000.0,50475000000.0,50475000000.0,50475000000.0,23200000000.0,21592000000.0,5683000000.0,-28970000000.0,-28970000000.0,-22136000000.0,-22136000000.0,15596000000.0,-631000000.0,16865000000.0,0.0,-1269000000.0,91360000000.0,116609000000.0,115801000000.0,28944000000.0,-125000000.0,28819000000.0,23200000000.0,23200000000.0,8.63,8.59,2687000000.0,2702000000.0,META
2390,2013,167003000.0,73173000.0,35988000.0,35134000.0,93830000.0,35151000.0,28002000.0,16919000.0,4149000.0,7149000.0,131852000.0,22280000.0,22280000.0,22280000.0,16856000.0,8715000.0,-3291000.0,-21707000.0,-21707000.0,-3328000.0,-3328000.0,35134000.0,-2755000.0,37744000.0,0.0,-2610000.0,59065000.0,144958000.0,144958000.0,19127000.0,-696000.0,18431000.0,16856000.0,15880000.0,0.43,0.43,36835163.0,37293916.0,MGIC
2391,2014,224184000.0,128761000.0,84430000.0,72515000.0,95423000.0,33530000.0,25918000.0,18704000.0,3861000.0,7612000.0,190654000.0,18194000.0,18194000.0,18194000.0,16566000.0,10279000.0,-8651000.0,-26061000.0,-26061000.0,46318000.0,46318000.0,72515000.0,38451000.0,35134000.0,0.0,37381000.0,64577000.0,164304000.0,164304000.0,20726000.0,-1853000.0,18873000.0,16566000.0,15520000.0,0.36,0.36,43287523.0,43304814.0,MGIC
2392,2015,239846000.0,135302000.0,76684000.0,62188000.0,104544000.0,40995000.0,28357000.0,23041000.0,6331000.0,12638000.0,198851000.0,19618000.0,19618000.0,19618000.0,17076000.0,10368000.0,-7826000.0,-16632000.0,-16632000.0,-11935000.0,-11935000.0,62188000.0,-8949000.0,72515000.0,0.0,-10327000.0,62809000.0,176030000.0,176030000.0,21434000.0,-677000.0,20757000.0,17076000.0,16198000.0,0.37,0.36,44247556.0,44452066.0,MGIC
2393,2016,316399000.0,158356000.0,87822000.0,75314000.0,158043000.0,93760000.0,44688000.0,28683000.0,8393000.0,49072000.0,222639000.0,27955000.0,27955000.0,27955000.0,16708000.0,12017000.0,-770000.0,-35982000.0,-35982000.0,22190000.0,22190000.0,75314000.0,14163000.0,62188000.0,0.0,13126000.0,68264000.0,201646000.0,201646000.0,21087000.0,-430000.0,20657000.0,16708000.0,11907000.0,0.27,0.27,44347083.0,44516036.0,MGIC
2394,2017,342539000.0,181640000.0,90946000.0,76076000.0,160899000.0,103137000.0,59237000.0,39974000.0,12185000.0,43900000.0,239402000.0,25508000.0,25508000.0,25508000.0,17914000.0,17013000.0,-9419000.0,-12419000.0,-12419000.0,-14312000.0,-14311000.0,76076000.0,-1223000.0,75314000.0,0.0,762000.0,82979000.0,258140000.0,258140000.0,25956000.0,-1711000.0,24245000.0,17914000.0,15442000.0,0.35,0.35,44435671.0,44597219.0,MGIC
2395,2018,362285000.0,211223000.0,113920000.0,87126000.0,151062000.0,86681000.0,52922000.0,38494000.0,14036000.0,33759000.0,275604000.0,24050000.0,24050000.0,24050000.0,24776000.0,10848000.0,-11574000.0,-19554000.0,-19554000.0,8426000.0,8426000.0,87126000.0,12922000.0,76076000.0,0.0,11050000.0,88818000.0,284375000.0,284375000.0,31698000.0,149000.0,31847000.0,24776000.0,18157000.0,0.39,0.39,46665042.0,46796690.0,MGIC
2396,2019,404606000.0,205050000.0,95511000.0,81915000.0,199556000.0,117994000.0,66883000.0,43609000.0,10990000.0,51111000.0,286612000.0,45948000.0,45948000.0,45948000.0,25598000.0,16111000.0,4239000.0,-15440000.0,-15440000.0,-36980000.0,-36980000.0,81915000.0,-6472000.0,87126000.0,0.0,-5211000.0,102129000.0,325630000.0,325630000.0,33652000.0,-1180000.0,32472000.0,25598000.0,12795000.0,0.26,0.26,48896163.0,48994083.0,MGIC
2397,2020,447386000.0,211226000.0,89654000.0,88127000.0,236160000.0,153400000.0,84829000.0,56096000.0,14250000.0,68571000.0,293986000.0,52296000.0,52296000.0,52296000.0,30117000.0,15231000.0,6948000.0,-9604000.0,-9604000.0,-39647000.0,-39647000.0,88127000.0,3045000.0,81915000.0,0.0,6212000.0,109592000.0,371194000.0,371194000.0,41676000.0,-4273000.0,37403000.0,30117000.0,23869000.0,0.49,0.49,49028975.0,49047657.0,MGIC
2398,2021,492045000.0,246779000.0,94818000.0,88090000.0,245266000.0,185945000.0,108265000.0,69884000.0,24711000.0,77680000.0,306100000.0,37810000.0,37810000.0,37810000.0,34904000.0,15975000.0,-13069000.0,-16854000.0,-16854000.0,-20735000.0,-20735000.0,88090000.0,221000.0,88127000.0,0.0,-37000.0,132994000.0,480325000.0,480325000.0,53742000.0,-8479000.0,45263000.0,34904000.0,25306000.0,0.52,0.52,49055082.0,49100054.0,MGIC
2399,2022,505141000.0,249098000.0,86966000.0,83062000.0,256043000.0,228830000.0,156053000.0,74440000.0,27598000.0,72777000.0,276311000.0,56615000.0,56615000.0,60534000.0,46279000.0,20107000.0,-5852000.0,-34458000.0,-34458000.0,-18276000.0,-18276000.0,83062000.0,3881000.0,88090000.0,0.0,-5028000.0,155355000.0,566792000.0,566792000.0,60856000.0,-3439000.0,57417000.0,46279000.0,40470000.0,0.82,0.82,49089044.0,49131311.0,MGIC
2400,2013,149887000.0,128819000.0,29956000.0,29956000.0,21068000.0,128276000.0,123387000.0,120198000.0,120198000.0,4889000.0,21611000.0,21092000.0,21092000.0,21092000.0,-9249000.0,18972000.0,11369000.0,-11862000.0,-11862000.0,-796000.0,-796000.0,29956000.0,8434000.0,21616000.0,0.0,8340000.0,68472000.0,83830000.0,83830000.0,-3880000.0,-5122000.0,-9002000.0,-9249000.0,-5128000.0,-0.2,-0.2,25898000.0,25898000.0,MGNI
2401,2014,296481000.0,237977000.0,97196000.0,97196000.0,58504000.0,167729000.0,154402000.0,151021000.0,151021000.0,13327000.0,128752000.0,6645000.0,6645000.0,6645000.0,-18673000.0,36455000.0,-11137000.0,-23123000.0,-23123000.0,83794000.0,83794000.0,97196000.0,67316000.0,29956000.0,0.0,67240000.0,104541000.0,125295000.0,125295000.0,-18778000.0,277000.0,-18501000.0,-18673000.0,-19789000.0,-0.7,-0.7,28217000.0,28217000.0,MGNI
2402,2015,536736000.0,365707000.0,139748000.0,116499000.0,171029000.0,258635000.0,250163000.0,247967000.0,247967000.0,8472000.0,278101000.0,76856000.0,76856000.0,76856000.0,422000.0,56600000.0,19834000.0,-72861000.0,-72861000.0,15468000.0,15468000.0,116499000.0,19463000.0,97196000.0,0.0,19303000.0,189989000.0,248484000.0,248484000.0,-5598000.0,1459000.0,-4139000.0,422000.0,422000.0,0.01,0.01,39663000.0,44495000.0,MGNI
2403,2016,519775000.0,391577000.0,189973000.0,149423000.0,128198000.0,220262000.0,218437000.0,214903000.0,214903000.0,1825000.0,299513000.0,60120000.0,60120000.0,60120000.0,-18053000.0,87387000.0,-9214000.0,-37116000.0,-37116000.0,10077000.0,10077000.0,149423000.0,33081000.0,116499000.0,0.0,32924000.0,204974000.0,278221000.0,278221000.0,1892000.0,-24805000.0,-22913000.0,-18053000.0,-18053000.0,-0.39,-0.39,46655000.0,46655000.0,MGNI
2404,2017,383635000.0,304656000.0,129146000.0,76642000.0,78979000.0,219024000.0,217244000.0,214103000.0,214103000.0,1780000.0,164611000.0,21535000.0,21535000.0,21535000.0,-154783000.0,151470000.0,24848000.0,-93210000.0,-93210000.0,-1380000.0,-1380000.0,76642000.0,-73055000.0,149498000.0,0.0,-72856000.0,98709000.0,155545000.0,155545000.0,-56181000.0,-100364000.0,-156545000.0,-154783000.0,-154783000.0,-3.17,-3.17,48869000.0,48869000.0,MGNI
2405,2018,360012000.0,300541000.0,87976000.0,80452000.0,59471000.0,241999000.0,240982000.0,239678000.0,239678000.0,1017000.0,118013000.0,-22686000.0,-22686000.0,-22686000.0,-61822000.0,51270000.0,-12134000.0,27947000.0,27947000.0,-1279000.0,-1279000.0,80452000.0,3982000.0,76642000.0,0.0,3810000.0,64682000.0,124685000.0,124685000.0,-60168000.0,-1297000.0,-61465000.0,-61822000.0,-61822000.0,-1.23,-1.23,50259000.0,50259000.0,MGNI
2406,2019,395120000.0,313050000.0,88888000.0,88888000.0,82070000.0,283184000.0,267499000.0,259439000.0,259439000.0,15685000.0,111936000.0,31983000.0,31983000.0,31983000.0,-25478000.0,51522000.0,5939000.0,-23388000.0,-23388000.0,-205000.0,-205000.0,88888000.0,8390000.0,80452000.0,0.0,8436000.0,99023000.0,156414000.0,156414000.0,-27583000.0,593000.0,-26990000.0,-25478000.0,-25478000.0,-0.48,-0.48,52614000.0,52614000.0,MGNI
2407,2020,938960000.0,607071000.0,117676000.0,117676000.0,331889000.0,557347000.0,522198000.0,509315000.0,509315000.0,35149000.0,381613000.0,-12065000.0,-12065000.0,-12065000.0,-53432000.0,76423000.0,-35056000.0,32636000.0,32636000.0,7354000.0,7354000.0,117731000.0,27925000.0,88888000.0,0.0,28843000.0,143881000.0,221628000.0,221628000.0,-36682000.0,-16057000.0,-52739000.0,-53432000.0,-53432000.0,-0.55,-0.55,96700000.0,96700000.0,MGNI
2408,2021,2712612000.0,1178116000.0,230401000.0,230401000.0,1534496000.0,1831855000.0,1029395000.0,1000956000.0,999354000.0,802460000.0,880757000.0,126589000.0,126589000.0,126589000.0,65000.0,94638000.0,31886000.0,-690997000.0,-690997000.0,678053000.0,678053000.0,230693000.0,113645000.0,117731000.0,0.0,112962000.0,266751000.0,468413000.0,468413000.0,-42893000.0,-52095000.0,-94988000.0,65000.0,65000.0,0.0,0.0,126294000.0,136261000.0,MGNI
